,Brix,pH,Tartaric.acid,Malic.acid,Ca.g.kg.DW,K.g.kg.DW,Mg.g.kg.DW,P.g.kg.DW,S.g.kg,AC,cis_2_2_Pentenyl_furan,beta_Cyclocitral,4_Propyl_Benzaldehyde,Eucalyptol,trans_2_Pentenal,Hexanal,cis_3_Hexenal,trans_2_Hexenal,Heptanal,1_Octen_3_ol,Benzaldehyde,trans_2_Octenal,Limonene,Linalool,alpha_Terpineol,gamma_Terpinene,Hotrienol,cis_2_Penten_1_ol,Nerol_oxide,beta_Ionone,p_Cymene,Isoterpinolene,Z_beta_Damascenone,E_beta_Damascenone,TDN,alpha_Ionene,Terpinen_4_ol,gamma_Terpineol
XGMEF2,28,3.9,9.570562971,1.6424,0.416322845,12.90995692,0.451790113,0.691973097,0.365118006,1.069355236,0.476391499,0.036239429,1.850113071,0.664143003,3.885540603,594.0830648,496.6585432,1230.076125,0.860655444,3.623343971,2.943447126,1.053566453,0.038601298,0.091037834,1.015432921,0.012131042,0.501019463,20.58231555,0.088997237,0.000565279,0.015699882,0.011637572,0.333332812,2.921395227,0.017180108,0.13669155,0.052345198,0.593852256
XGMEF3,28,3.81,10.00377238,0.9036,0.517620732,12.68324817,0.493586946,0.659817013,0.370137019,1.102299751,0.615543564,0.046258217,1.871413376,0.706242233,3.675233937,650.1314546,591.8490363,1406.020758,0.735869684,4.125760617,4.047002177,0.896397047,0.050323838,0.1024913,1.286092919,0.010703883,0.49819629,24.1579809,0.113806351,0.000480696,0.020655634,0.011710419,0.280597618,2.401396559,0.018086148,0.120073673,0.070600355,0.558600996
YSCHF1,23.5,3.23,7.076383846,4.7496,0.59,11.82,0.36,1.01,0.43,0,1.629339468,0.093637167,1.756130234,0.175971048,1.223935814,1045.96449,268.7274383,1533.166628,0.4424765,1.14477759,10.60646675,0.832951589,0.071519608,0.819131112,5.866082326,0.00372271,0.113947469,3.019185759,0.046672564,0.005239625,0.007756464,0.055176184,1.304703532,11.83052529,0.069086241,0.777859209,0.007234468,4.877363809
YSCHF4,23.9,3.21,6.546235335,3.6587,0.44,10.89,0.35,0.93,0.39,0,1.874440164,0.097304355,2.060375869,0.227249779,1.243097527,1012.576759,340.7723684,1604.578869,0.513579236,1.30015674,11.09693769,1.05073988,0.084055917,1.04208849,6.873022224,0.004639395,0.140439172,3.189574092,0.059883499,0.005616595,0.01255763,0.069314809,1.462113114,11.23540225,0.070971977,0.827628127,0.007776187,5.729023909
YSCHF5,24.1,3.23,7.40939412,3.8344,0.47,11.34,0.37,0.96,0.4,0,1.574873462,0.089754862,1.747637531,0.219884507,1.133592171,988.9382253,292.6525872,1503.820904,0.460835023,1.39376541,10.21200325,0.858229619,0.096592226,1.265045867,4.859142426,0.005556079,0.166930873,2.848797425,0.073094434,0.005341572,0.009210878,0.083453434,1.228629441,9.624682859,0.072857713,0.802743668,0.00669275,4.025703708
YSCSF1,26.2,3.4,6.785020595,0.0727,0.41,8.16,0.51,0.85,0.41,0.950897268,1.715129309,0.075785465,2.456406406,0.352911649,1.580868564,596.8377946,254.2323816,1200.498785,0.4847167,2.139339059,4.265439679,0.817331909,0.021365448,0.053871084,0.5892686,0.030145114,0.232902665,3.685246095,0.065923079,0.003059387,0.017428039,0.027395887,0.779215892,6.538804601,0.055376844,0.18569976,0.119381331,0.189624623
YSCSF3,26.6,3.36,8.267841202,0.2334,0.49,9.69,0.47,0.8,0.4,1.014740898,1.286254675,0.056899204,1.562373329,0.459824272,1.436697961,503.5287039,201.3022424,1024.885122,0.415063813,3.081695436,5.421155543,1.036709284,0.024681873,0.058647608,0.905137238,0.03500659,0.25124318,3.369084653,0.06252724,0.002681182,0.018741021,0.030958078,0.903699599,7.987864512,0.056831081,0.185674113,0.127154808,0.217565225
YSCSF5,26.4,3.35,8.038281847,0.0308,0.42,8.24,0.44,0.81,0.41,1.093930739,1.265464205,0.054949849,1.621765982,0.400387574,1.693252979,431.8982114,191.185531,994.34462,0.585711644,4.024051814,7.597645543,0.927020597,0.025179964,0.063424131,0.880576355,0.023445468,0.252582413,4.001407537,0.054553319,0.001964993,0.014030422,0.022224267,0.654732184,5.08974469,0.053922607,0.185725407,0.111607853,0.217885251
YSMEF1,25.9,3.39,9.492976336,0.9216,0.560962332,10.98960701,0.406753296,0.805996371,0.334614193,1.378991089,0.739535712,0.05415151,1.163492832,0.333471064,4.400004077,829.6254268,739.2108034,1328.915091,0.945871937,1.993850935,2.260453365,0.64439061,0.03477192,0.132264669,0.830576145,0.010465749,0.213899691,3.103638397,0.04570858,0.002779416,0.012832036,0.017238256,0.591153738,6.072418957,0.040421256,0.174193931,0.006583381,0.013843108
YSMEF3,25.7,3.34,8.686990218,0.989,0.596107594,10.14841358,0.399089118,0.785812372,0.342228903,1.16985805,0.561108495,0.040743368,1.222583154,0.365663953,3.102469208,740.9667526,524.1974103,1018.882039,0.849368511,2.132087207,2.082960731,0.455275775,0.03125514,0.098936835,0.791035377,0.007533743,0.232500463,4.592447641,0.041292298,0.001777005,0.012930299,0.014113297,0.626449718,6.151698698,0.034435655,0.210963833,0.007943581,0.014627914
YSMEF4,26.1,3.35,9.276769364,0.5837,0.536919072,11.63033335,0.462695917,0.915733531,0.365059994,1.258204472,0.843367733,0.062705018,1.328625993,0.304185875,2.700622525,807.003535,610.2432836,1189.495457,0.742221487,2.161895498,2.168178664,0.46937453,0.029467385,0.09901541,0.676013819,0.007241241,0.19529892,3.017045675,0.050124861,0.002528054,0.009524682,0.014471588,0.608801729,3.432916741,0.028132191,0.137424029,0.005223181,0.013058302
